account_id,score,risk_rank,label_text,edge_coverage_status,link_generation_blocked,recovery_priority,history_txn_count,direct_counterparty_count,node_profile_evidence,required_query,expected_link_evidence,current_evidence_boundary
7329,0.9916072878145576,1,嫌疑人,account_id_not_present_as_src_or_dst,True,P0,0,0,开户时长分箱=5.80645161；地区编码=755；客户类型=对私,补充 account_id=7329 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
1256,0.9911923874808336,2,嫌疑人,account_id_not_present_as_src_or_dst,True,P0,0,0,开户时长分箱=48.16129032；地区编码=416；客户类型=对公,补充 account_id=1256 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
716,0.99107964282493,3,嫌疑人,account_id_not_present_as_src_or_dst,True,P0,0,0,开户时长分箱=6.16129032；地区编码=723；客户类型=对私,补充 account_id=716 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
7700,0.9906286642013168,4,嫌疑人,account_id_not_present_as_src_or_dst,True,P1,0,0,开户时长分箱=5.83870968；地区编码=673；客户类型=对私,补充 account_id=7700 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
4951,0.990466311896816,5,嫌疑人,account_id_not_present_as_src_or_dst,True,P1,0,0,开户时长分箱=76.64516129；地区编码=790；客户类型=对私,补充 account_id=4951 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
1090,0.9902453323712456,6,嫌疑人,account_id_not_present_as_src_or_dst,True,P1,0,0,开户时长分箱=15.09677419；地区编码=416；客户类型=对公,补充 account_id=1090 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
10814,0.9902092540813566,7,嫌疑人,account_id_not_present_as_src_or_dst,True,P1,0,0,开户时长分箱=24.25806452；地区编码=416；客户类型=对公,补充 account_id=10814 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
3089,0.9901461170740508,8,嫌疑人,account_id_not_present_as_src_or_dst,True,P1,0,0,开户时长分箱=49.58064516；地区编码=394；客户类型=对私,补充 account_id=3089 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
7951,0.990119058356634,9,嫌疑人,account_id_not_present_as_src_or_dst,True,P1,0,0,开户时长分箱=5.12903226；地区编码=745；客户类型=对私,补充 account_id=7951 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
7206,0.9900919996392172,10,嫌疑人,account_id_not_present_as_src_or_dst,True,P1,0,0,开户时长分箱=12.5483871；地区编码=664；客户类型=对公,补充 account_id=7206 作为付款方或收款方的完整历史交易流水,补数后按历史时间顺序重建直接对手、in-root-out、root-mid-out、汇聚/分散和闭环结构,当前仅可使用模型风险分、账户节点画像和缺边审计，不能把任意账户声明为资金对手
