source,raw_field,clean_field,field_role,meaning,leakage_policy
账户节点表,账户脱敏id,account_id,节点 ID,脱敏账户唯一标识,ID 字段，不作为行为特征
账户节点表,是否风险账户标签,account_label_code,标签核验,账户表自带最终风险标签,仅用于核验标签一致性，不进入模型特征
账户节点表,开户时长,account_age_months,静态画像,开户时长,可作为消融变量，弱画像实验删除
账户节点表,地区编码,region_code,静态画像,地区编码,可作为消融变量，弱画像实验删除
账户节点表,客户类型,customer_type,静态画像,客户类型,主模型删除该字段以降低捷径学习
交易边表,付款账户脱敏id,src_account_id,边起点,转出账户,用于构图和交易方向特征
交易边表,收款账户脱敏id,dst_account_id,边终点,转入账户,用于构图和交易方向特征
交易边表,交易时间,txn_time,边时间,交易发生时间,用于按时间窗口切分，避免未来交易泄露
交易边表,金额,amount,边权重,交易金额,用于金额统计，负金额保留为异常信号
风险标签表,账户脱敏id,account_id,标签 ID,标签对应账户,只作为监督目标或评估口径
风险标签表,标签类型,label_type,标签文本,其它、嫌疑人、受害人,不进入模型特征
stat_features,,account_age_months,模型特征,开户时长静态画像特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,region_code,模型特征,地区编码静态画像特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_txn_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_amount_sum,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_amount_mean,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_amount_max,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_amount_median,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_counterparty_nunique,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_active_days,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_active_months,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_self_loop_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_non_positive_amount_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_negative_amount_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_zero_amount_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_night_txn_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_round_1000_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_small_amount_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_large_amount_count,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_txn_per_active_day,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_amount_per_txn,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_night_txn_ratio,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_round_1000_ratio,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_small_amount_ratio,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,out_large_amount_ratio,模型特征,付款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_txn_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_amount_sum,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_amount_mean,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_amount_max,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_amount_median,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_counterparty_nunique,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_active_days,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_active_months,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_self_loop_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_non_positive_amount_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_negative_amount_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_zero_amount_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_night_txn_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_round_1000_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_small_amount_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_large_amount_count,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_txn_per_active_day,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_amount_per_txn,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_night_txn_ratio,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_round_1000_ratio,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_small_amount_ratio,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,in_large_amount_ratio,模型特征,收款方向交易统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,monthly_txn_count_std,模型特征,按月交易波动和增长特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,monthly_amount_sum_std,模型特征,按月交易波动和增长特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,monthly_txn_count_mean,模型特征,按月交易波动和增长特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,monthly_amount_sum_mean,模型特征,按月交易波动和增长特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,monthly_txn_count_cv,模型特征,按月交易波动和增长特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,monthly_amount_sum_cv,模型特征,按月交易波动和增长特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,first_month_txn_count,模型特征,模型特征或中间字段,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,last_month_txn_count,模型特征,模型特征或中间字段,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,txn_count_growth,模型特征,模型特征或中间字段,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,daily_txn_count_mean,模型特征,按日交易突发性统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,daily_txn_count_std,模型特征,按日交易突发性统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,daily_txn_count_max,模型特征,按日交易突发性统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,daily_amount_sum_mean,模型特征,按日交易突发性统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,daily_amount_sum_std,模型特征,按日交易突发性统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,daily_amount_sum_max,模型特征,按日交易突发性统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,daily_txn_count_cv,模型特征,按日交易突发性统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,daily_amount_sum_cv,模型特征,按日交易突发性统计特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,burst_day_txn_ratio,模型特征,交易突发性比例特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,burst_day_amount_ratio,模型特征,交易突发性比例特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,activity_hour_nunique,模型特征,交易活跃小时分布特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,activity_hour_entropy,模型特征,交易活跃小时分布特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,activity_hour_txn_max_ratio,模型特征,交易活跃小时分布特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,txn_interarrival_min_mean,模型特征,交易间隔时间特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,txn_interarrival_min_std,模型特征,交易间隔时间特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,txn_interarrival_min_min,模型特征,交易间隔时间特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,txn_interarrival_min_cv,模型特征,交易间隔时间特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,counterparty_count,模型特征,交易对手数量、金额和集中度特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,counterparty_amount_max,模型特征,交易对手数量、金额和集中度特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,counterparty_amount_mean,模型特征,交易对手数量、金额和集中度特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,counterparty_txn_max,模型特征,交易对手数量、金额和集中度特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,counterparty_txn_mean,模型特征,交易对手数量、金额和集中度特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,counterparty_amount_top_ratio,模型特征,交易对手数量、金额和集中度特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,counterparty_txn_top_ratio,模型特征,交易对手数量、金额和集中度特征,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_count_1h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_in_amount_ratio_1h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_out_amount_ratio_1h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_balance_ratio_1h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
stat_features,,fast_in_out_mean_delay_min_1h,模型特征,入账后短时间转出的快进快出时序模体,仅由当前 split 交易窗口或账户画像生成，不包含目标标签字段
